MIU_DOCUMENTOS,PATH_ADUNTO,s3_bucket,s3_key,exists,http_status,error
997973,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143737/20090036/miuDocumento_997971_12TeoriasdelDesarrollo.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143737/20090036/miuDocumento_997971_12TeoriasdelDesarrollo.pdf,Y,200,
997996,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_997996_0ProgramaUtilizaciondeMedios2026.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_997996_0ProgramaUtilizaciondeMedios2026.pdf,Y,200,
997997,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_997996_0ProgramaUtilizaciondeMedios2026.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_997996_0ProgramaUtilizaciondeMedios2026.pdf,Y,200,
998004,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142780/20130378/miuDocumento_998004_CRONOGRAMA-INFOTECNOLOGIASI.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/142780/20130378/miuDocumento_998004_CRONOGRAMA-INFOTECNOLOGIASI.pdf,Y,200,
998007,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_998007_TheImpactofArtificialIntelligenceonLawFirmsBusinessModels-HarvardLawSchoolCenterontheLegalProfession.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_998007_TheImpactofArtificialIntelligenceonLawFirmsBusinessModels-HarvardLawSchoolCenterontheLegalProfession.pdf,Y,200,
998008,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_998007_TheImpactofArtificialIntelligenceonLawFirmsBusinessModels-HarvardLawSchoolCenterontheLegalProfession.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_998007_TheImpactofArtificialIntelligenceonLawFirmsBusinessModels-HarvardLawSchoolCenterontheLegalProfession.pdf,Y,200,
998016,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143736/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143736/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,Y,200,
998017,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143738/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143738/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,Y,200,
998018,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143737/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,miu-documentos,DATA-DOCS/miu-hml/documentos/143737/20090036/miuDocumento_998016_PDFPPICInstrucciones2026.pdf,Y,200,
998019,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144002/20010656/miuDocumento_960583_Metodologiadeanalisisp_e_2025_Derecho-2.ppt,miu-documentos,DATA-DOCS/miu-hml/documentos/144002/20010656/miuDocumento_960583_Metodologiadeanalisisp_e_2025_Derecho-2.ppt,Y,200,
