MIU_DOCUMENTOS,PATH_ADUNTO,s3_key,motivo
1003213,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144659/20180454/miuDocumento_1003213_Objetos.jpg,DATA-DOCS/miu-hml/documentos/144659/20180454/miuDocumento_1003213_Objetos.jpg,
1003211,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144114/20190780/miuDocumento_1003211_DeterminantesdelDineroLec.4agregada.pptx,DATA-DOCS/miu-hml/documentos/144114/20190780/miuDocumento_1003211_DeterminantesdelDineroLec.4agregada.pptx,
1003210,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144114/20190780/miuDocumento_1003210_AgendaClaseMiercoles28deenerode2026.docx,DATA-DOCS/miu-hml/documentos/144114/20190780/miuDocumento_1003210_AgendaClaseMiercoles28deenerode2026.docx,
1003209,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144716/20160763/miuDocumento_1003209_ProgramaDerechodelosNegociosInternacionales-2026.pdf,DATA-DOCS/miu-hml/documentos/144716/20160763/miuDocumento_1003209_ProgramaDerechodelosNegociosInternacionales-2026.pdf,
1003208,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144715/20160763/miuDocumento_1003208_ProgramaDerechodelosNegociosInternacionales-2026.pdf,DATA-DOCS/miu-hml/documentos/144715/20160763/miuDocumento_1003208_ProgramaDerechodelosNegociosInternacionales-2026.pdf,
1003207,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142836/20211009/miuDocumento_1003207_actividadclase.docx,DATA-DOCS/miu-hml/documentos/142836/20211009/miuDocumento_1003207_actividadclase.docx,
1003206,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003206_Clase8-CVU.pptx,DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003206_Clase8-CVU.pptx,
1003205,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142940/20171137/miuDocumento_1003205_Bioquimicadelosaminoacidos.pptx,DATA-DOCS/miu-hml/documentos/142940/20171137/miuDocumento_1003205_Bioquimicadelosaminoacidos.pptx,
1003204,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143376/20130088/miuDocumento_1003203_Clase51-2.pdf,DATA-DOCS/miu-hml/documentos/143376/20130088/miuDocumento_1003203_Clase51-2.pdf,
1003203,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143375/20130088/miuDocumento_1003203_Clase51-2.pdf,DATA-DOCS/miu-hml/documentos/143375/20130088/miuDocumento_1003203_Clase51-2.pdf,
1003202,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144127/20190465/miuDocumento_1003202_Vidayobra_20260126_205810_0000.pdf,DATA-DOCS/miu-hml/documentos/144127/20190465/miuDocumento_1003202_Vidayobra_20260126_205810_0000.pdf,
1003201,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143379/30910351/miuDocumento_1003201_LaeleccinMicroeconomiaF2026.pptx,DATA-DOCS/miu-hml/documentos/143379/30910351/miuDocumento_1003201_LaeleccinMicroeconomiaF2026.pptx,
1003200,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143311/20160205/miuDocumento_1003200_Clase3.ipynb,DATA-DOCS/miu-hml/documentos/143311/20160205/miuDocumento_1003200_Clase3.ipynb,
1003199,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143767/20050291/miuDocumento_1003198_PatologadelintestinodelgadoI.pdf,DATA-DOCS/miu-hml/documentos/143767/20050291/miuDocumento_1003198_PatologadelintestinodelgadoI.pdf,
1003198,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143766/20050291/miuDocumento_1003198_PatologadelintestinodelgadoI.pdf,DATA-DOCS/miu-hml/documentos/143766/20050291/miuDocumento_1003198_PatologadelintestinodelgadoI.pdf,
1003197,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143354/20260602/miuDocumento_1003197_Solucioncorto3IMUFM.pdf,DATA-DOCS/miu-hml/documentos/143354/20260602/miuDocumento_1003197_Solucioncorto3IMUFM.pdf,
1003196,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144847/20190812/miuDocumento_1003196_CoberturaUniversalensaludguatemalaResumenNB.m4a,DATA-DOCS/miu-hml/documentos/144847/20190812/miuDocumento_1003196_CoberturaUniversalensaludguatemalaResumenNB.m4a,
1003195,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144847/20190812/miuDocumento_1003195_La_sanidad_guatemalteca_rota_y_sin_fondosResumenNB.m4a,DATA-DOCS/miu-hml/documentos/144847/20190812/miuDocumento_1003195_La_sanidad_guatemalteca_rota_y_sin_fondosResumenNB.m4a,
1003194,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144618/I2000008/miuDocumento_1003194_Liderazgo-sesion6.pdf,DATA-DOCS/miu-hml/documentos/144618/I2000008/miuDocumento_1003194_Liderazgo-sesion6.pdf,
1003193,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144618/I2000008/miuDocumento_1003193_Liderazgo-sesion5.pdf,DATA-DOCS/miu-hml/documentos/144618/I2000008/miuDocumento_1003193_Liderazgo-sesion5.pdf,
1003192,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144627/I2000008/miuDocumento_1003192_Liderazgo-sesion6.pdf,DATA-DOCS/miu-hml/documentos/144627/I2000008/miuDocumento_1003192_Liderazgo-sesion6.pdf,
1003191,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003191_Ejercicioenclase-Clase7Costeoporabsvsvariable.xlsx,DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003191_Ejercicioenclase-Clase7Costeoporabsvsvariable.xlsx,
1003190,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003190_EjercicioCostoVariable-Absorcin.docx,DATA-DOCS/miu-hml/documentos/143292/20130019/miuDocumento_1003190_EjercicioCostoVariable-Absorcin.docx,
1003189,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143276/20180284/miuDocumento_1003189_CalculoIntegral-B-Notas.pdf,DATA-DOCS/miu-hml/documentos/143276/20180284/miuDocumento_1003189_CalculoIntegral-B-Notas.pdf,
1003188,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143464/97000034/miuDocumento_1003188_CaseStudyParisv2026.docx,DATA-DOCS/miu-hml/documentos/143464/97000034/miuDocumento_1003188_CaseStudyParisv2026.docx,
1003187,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144233/97000389/miuDocumento_1003187_contratodepermuta.pdf,DATA-DOCS/miu-hml/documentos/144233/97000389/miuDocumento_1003187_contratodepermuta.pdf,
1003186,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_1003186_PizarrasSesin5y6.zip,DATA-DOCS/miu-hml/documentos/144630/26910098/miuDocumento_1003186_PizarrasSesin5y6.zip,
1003185,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144632/20060880/miuDocumento_1003185_Sesin4_FinanzasCorporativas_FlujodeEfectivo.pdf,DATA-DOCS/miu-hml/documentos/144632/20060880/miuDocumento_1003185_Sesin4_FinanzasCorporativas_FlujodeEfectivo.pdf,
1003184,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144632/20060880/miuDocumento_1003184_Sesin3_FinanzasCorporativas_BalanceGeneral_B.pdf,DATA-DOCS/miu-hml/documentos/144632/20060880/miuDocumento_1003184_Sesin3_FinanzasCorporativas_BalanceGeneral_B.pdf,
1003183,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144578/30830016/miuDocumento_1003183_FILOSOFAANALTICA5.pdf,DATA-DOCS/miu-hml/documentos/144578/30830016/miuDocumento_1003183_FILOSOFAANALTICA5.pdf,
1003182,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144631/20060880/miuDocumento_1003182_WashingtonEnterprises_UV9162-XLS-ENG_students.xlsx,DATA-DOCS/miu-hml/documentos/144631/20060880/miuDocumento_1003182_WashingtonEnterprises_UV9162-XLS-ENG_students.xlsx,
1003181,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142801/98000341/miuDocumento_1003180_NomenclaturaDental.pdf,DATA-DOCS/miu-hml/documentos/142801/98000341/miuDocumento_1003180_NomenclaturaDental.pdf,
